LEVEL,QUESTION,OPTION 1,OPTION 2,OPTION 3,OPTION 4,ANSWER
E1,Which is the largest country in the world?,India,USA,China,Russia,Russia
E2,How many days are there in a leap year?,354,366,365,420,366
E3,Which one of these four birds has the longest beak and feet?,Heron,Parrot,Crow,Pigeon,Heron
E4,What is the national currency of the United States of America (USA)?,Euro,Peso,Dollar,Yen,Dollar
E5,Guido van Rossum in 1991 designed which language?,Javascript,Python,Java,C++,Python
E6,"Finish the sequence: 9, 18, 27, _?""",36,34,30,37,36
E7,Which one is the first fully supported 64-bit operating system?,Windows 7,Linux,Mac,Windows XP,Linux
E8,Which animal is called the king of the jungle?,Elephant,Lion,Tiger,Cow,Lion
E9,what time corresponds to 23:23 hours ?,11:23PM,11.11PM,7:23PM,9.11PM,11:23PM
E10,Which team has won most number of IPL matches ?,KKR,CSK,MI,RCB,MI
E11,Which is the largest planet in our Solar system?,Earth,Uranus,Mars,Jupiter,Jupiter
E12,How many continents are there in the world?,8,5,7,6,7
E13,How many years are there in one Millenium?,100 years,50 years,500 years,1000 years,1000 years
E14,ipad is manufactured by?,Google,Microsoft,Amazon,Apple,Apple
E15,Who founded Microsoft?,Monty Ritz,Danis Lio,Bill Gates,Jeff Bezos,Bill Gates
D1,"Who coined the name ""Pakistan""?",Allama Iqbal,Muhammad Ali Jinnah,Sir Syed Ahmed Khan,Chaudhary Rehmat Ali,Chaudhary Rehmat Ali
D2,In what year did the the Second World War Start? ,1939,1940,1938,1941,1939
D3,"Which Planet in our Solar System is called ""Red Planet""?",Mercury,Mars ,Plotu,Jupiter,Mars
D4,How many Elements are there in the Periodic Table?,107,120,118,,118
D5,Who invented the Telephone ?,Alexander Graham Bell,Thomas Edison,Nikola Tesla ,Gulieloni Macroni,Alexander Graham Bell
D6,What is the capital of Brazil?,Rio de Janeiro,Sao Paulo,Brasilia,Salvador,Brasilia
D7,Which of the following is the highest grossing movie of all time adjusted for inflation?,Gone with the wild,Avatar,Titanic,Avengers Endgame,Gone with the wild
D8,What’s the smallest country in the world?,Vatican City,Monaco ,Nauru ,Tuvalu ,Vatican City
D9,how long did Queen Elizabeth reign?,70,69,50,68,70
D10,What Islamic Empire was the largest?,Umayyad Caliphate,Byzantine empire,Sasanian empire,Ottoman Empire,Umayyad Caliphate
D11,Who was the first man to reach the South Pole?,Roald Amundsen,Robert Peary,Matthew Henson,Alexander von Tunzelmann,Roald Amundsen
D12,Which one is the smallest ocean of the world?,Arctic,Indian,Pacific,Atlantic,Arctic
D13,Which Countinent has the highest number of countries?,Africa,Asia,Europe,Australia,Africa
D14,How long did British rule India?,97,95,89,96,89
D15,What country has the highest life expectancy? , Hong Kong, Germany,Dubai,Japan,Hong Kong
